FILE OF DATA FOR PAR_LINE:
Number of Lines, Columns
15 3
DATA
58.000000 256.000000 427.000000 393.000000
419.000000 375.000000 77.000000 244.000000
131.000000 246.000000 410.000000 356.000000
402.000000 335.000000 182.000000 249.000000
237.000000 251.000000 391.000000 314.000000
382.000000 291.000000 289.000000 252.000000
343.000000 254.000000 370.000000 266.000000
390.000000 256.000000 362.000000 243.000000
349.000000 215.000000 441.000000 257.000000
490.000000 259.000000 337.000000 187.000000
322.000000 157.000000 542.000000 261.000000
307.000000 124.000000 590.000000 263.000000
636.000000 265.000000 291.000000 91.000000
313.000000 73.000000 637.000000 240.000000
548.000000 334.000000 177.000000 173.000000
